Paper ID,DOI,Hypotheses,Title
96,,,Web user profiling based on browsing behavior analysis
97,10.4304/jnw.9.3.645-652,,Windows volatile memory forensics based on correlation analysis
98,https://doi.org/10.1016/j.comcom.2013.05.005,,A scalable network forensics mechanism for stealthy self-propagating attacks
99,https://doi.org/10.1016/j.jcss.2014.12.019,,Authorship verification of e-mail and tweet messages applied for continuous authentication
100,https://doi.org/10.1016/j.diin.2011.05.007,,CAT Detect (Computer Activity Timeline Detection): A tool for detecting inconsistency in computer activity timelines
101,https://doi.org/10.1016/j.comcom.2016.03.024,,"CURE - Towards enforcing a reliable timeline for cloud forensics: Model, architecture, and experiments"
102,https://doi.org/10.1016/j.compeleceng.2017.09.014,,Enhancement of multimedia security using random permutation with wavelet function
103,10.1109/incos.2011.17,,A Forensic Analysis of Images on Online Social Networks
104,10.1109/isi.2017.8004876,"the application of the SRL task in forensic analysis increases the performance of the forensic experts in terms of agility, precision and recall",A framework for digital forensics analysis based on semantic role labeling
105,10.1109/icb.2012.6199797,,A joint factor analysis model for handling mismatched recording conditions in forensic automatic speaker recognition
106,10.1109/wacv.2009.5403106,,A new method for the detection of singular points in fingerprint images
107,10.1109/tbdata.2017.2683521,,A Novel Methodology to Acquire Live Big Data Evidence from the Cloud
108,10.1109/tifs.2011.2129512,,A SIFT-Based Forensic Method for Copy–Move Attack Detection and Transformation Recovery
109,10.1109/ares.2012.71,"from a finite and varied set of videos related to child pornography is possible to infer about the presence of child pornography in unknown videos,",A Statistical Approach for Identifying Videos of Child Pornography at Crime Scenes
110,10.1109/wifs.2011.6123122,,An analysis on attacker actions in fingerprint-copy attack in source camera identification
111,10.1109/icicisys.2009.5358149,,An efficient approach to still image copy detection based on SVD and block partition for digital forensics
112,10.1109/tifs.2012.2218597,,An Evaluation of Popular Copy-Move Forgery Detection Approaches
113,10.1109/ecrime.2011.6151978,,An expanding reference library for Peer-to-Peer content
114,10.1109/npc.2008.6,,An Improved Method for Ranking of Search Results Based on User Interest
115,10.1109/jsyst.2015.2418434,,An Internal Intrusion Detection and Protection System by Using Data Mining and Forensic Techniques
116,10.1109/wifs.2011.6123159,the tampered image presents a nonaligned double JPEG compression (NA-JPEG),Analysis of non-aligned double JPEG artifacts for the localization of image forgeries
117,10.1109/jcsse.2015.7219806,,Analyzing and searching process of internet username and password stored in Random Access Memory (RAM)
118,10.1109/tifs.2011.2119314,,Anti-forensics of digital image compression
119,10.1109/mines.2010.85,,Blind Tampering Identification by Incorporating EFR and Calibration
120,10.1109/tsusc.2018.2833502,,CLASS: Cloud Log Assuring Soundness and Secrecy Scheme for Cloud Forensics
121,10.1109/passat/socialcom.2011.68,,Comparative Analysis of Volatile Memory Forensics: Live Response vs. Memory Imaging
122,10.1109/cw.2007.47,,"Crime Lead Discovery on Gray Forum Communities: A Case Study on a ""Pirated-CD"" Forum in Taiwan"
123,10.1109/tifs.2010.2099220,Eve selects the natural strength  for the alpha fake fingerprint,Defending Against Fingerprint-Copy Attack in Sensor-Based Camera Identification
124,10.1109/icig.2009.46,,Detection of Resampling Based on Singular Value Decomposition
125,,,Digital forensic research — The analysis of user input on volatile memory of Windows application
126,,,Discrimination between computer generated and natural human faces based on asymmetry information
127,10.1109/mines.2009.154,,D-S Evidence Theory Based Digital Image Trustworthiness Evaluation Model
128,10.1109/icnp.2011.6089049,,Efficient data capturing for network forensics in cognitive radio networks
129,10.1109/ettandgrs.2008.321,,Email Conversations Reconstruction Based on Messages Threading for Multi-person
130,10.1109/cisp.2011.6100321,,Estimating image illuminant color based on gray world assumption
131,10.1109/ares.2015.15,,Evaluation of a Sector-Hash Based Rapid File Detection Method for Monitoring Infrastructure-as-a-Service Cloud Platforms
132,10.1109/imis.2012.35,some of the enhanced sensor pattern noise extraction techniques proposed in literature are able to improve on the original technique in the considered cases,Experiments on Improving Sensor Pattern Noise Extraction for Source Camera Identification
133,10.1109/wifs.2010.5711454,,Fast image clustering of unknown source images
134,10.1109/iwscn.2010.5497996,,Fragment retention characteristics in slack space — Analysis and measurements
135,10.1109/sadfe.2010.21,,Global Analysis of Drive File Times
136,10.1109/tsmca.2010.2041654,,Hand-Drawn Face Sketch Recognition by Humans and a PCA-Based Algorithm for Forensic Applications
137,10.1109/trustcom.2016.0175,"users with same handedness may produce similar typing data, which may define a new aspect of structure in keystroke data,",Handedness Recognition through Keystroke-Typing Behavior in Computer Forensics Analysis
138,10.1109/icitst.2016.7856710,,Identification and recovery of video fragments for forensics file carving
139,10.1109/icsmc.2010.5641757,,Identifying camera and processing from cropped JPEG photos via tensor analysis
140,10.1109/tifs.2011.2139209,,Identifying Image Composites Through Shadow Matte Consistency
141,10.1109/tifs.2012.2202227,"the image is acquired using a Color Filter Array, and that tampering removes the artifacts due to the demosaicking algorithm",Image Forgery Localization via Fine-Grained Analysis of CFA Artifacts
142,10.1109/icb.2012.6199788,,Improving radial triangulation-based forensic palmprint recognition according to point pattern comparison by relaxation
143,10.1109/tifs.2010.2051426,,JPEG Error Analysis and Its Applications to Digital Image Forensics
144,10.1109/itme.2015.94,,Network Forensics Scenario Reconstruction Method Based on Hidden Markov Models
145,10.1109/tmm.2012.2191946,,Normalized Energy Density-Based Forensic Detection of Resampled Images
146,10.1109/ijcb.2011.6117525,,On matching latent to latent fingerprints
147,10.1109/tifs.2012.2194285,,Robust Image Alignment for Tampering Detection
148,10.1109/ism.2016.0110,,Social Media Image Retrieval Using Distilled Convolutional Neural Network for Suspicious e-Crime and Terrorist Account Detection
149,10.1109/bwcca.2010.107,,Source Camera Identification in Real Practice: A Preliminary Experimentation
150,10.1109/ias.2007.75,,Statistical Disk Cluster Classification for File Carving
151,10.1109/icmla.2011.135,,Statistical Learning for File-Type Identification
152,10.1109/icb.2016.7550050,,Tattoo detection based on CNN and remarks on the NIST database
153,10.1109/aina.2014.18,,Toward a Framework for Continuous Authentication Using Stylometry
154,10.1109/tifs.2011.2157821,,Using a Knowledge-Based Approach to Remove Blocking Artifacts in Skin Images for Forensic Analysis
